                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1485,                 3.5076,                 2.6291,                 0.0003,                0.09091,                0.00023,                  6e-05,                 3.2432,                 5.1474,                 4.0207,                      0,                      0,                      0
                      2,                 2.0296,                 3.6305,                 2.6089,                 0.0003,                0.09091,                0.00023,                  6e-05,                 3.2431,                 5.1589,                 4.0215,             1.9736e-05,             1.9736e-05,             1.9736e-05
                      3,                 1.6316,                 3.2492,                 2.2322,                 0.0003,                0.09091,                0.00023,                  6e-05,                 3.2511,                 5.1653,                 4.0251,             3.8944e-05,             3.8944e-05,             3.8944e-05
                      4,                 1.8823,                 3.2109,                 2.3323,                 0.0003,                0.09091,                0.00023,                  6e-05,                 3.2553,                 5.1789,                  4.028,             5.7624e-05,             5.7624e-05,             5.7624e-05
                      5,                 1.7953,                 3.7062,                 2.3404,                 0.0003,                0.09091,                0.00023,                  6e-05,                 3.2633,                 5.1909,                 4.0299,             7.5776e-05,             7.5776e-05,             7.5776e-05
                      6,                 2.0694,                 3.2066,                 2.7412,                 0.0003,                0.09091,                0.00023,                  6e-05,                 3.2664,                 5.2111,                 4.0306,               9.34e-05,               9.34e-05,               9.34e-05
                      7,                 1.3697,                 3.1029,                 2.0116,                      1,                      1,                  0.995,                0.89088,                0.47782,                 9.2463,                 1.0053,              0.0001105,              0.0001105,              0.0001105
                      8,                0.64698,                 4.0411,                 1.1486,                      1,                      1,                  0.995,                0.89088,                0.47835,                 8.9096,                 1.0047,             0.00012706,             0.00012706,             0.00012706
                      9,                0.62431,                 3.4307,                 1.0546,                0.78322,                0.09091,                0.10904,                0.09773,                0.87527,                 7.1952,                 1.1159,              0.0001431,              0.0001431,              0.0001431
                     10,                0.83738,                 4.1505,                 1.2195,                0.36667,                      1,                0.38108,                0.33829,                0.44061,                 18.533,                0.81848,             0.00015862,             0.00015862,             0.00015862
                     11,                0.68264,                   1.63,                 1.0962,                0.36667,                      1,                0.39736,                 0.1177,                 2.6017,                 30.412,                 3.9937,              0.0001736,              0.0001736,              0.0001736
                     12,                0.72462,                 2.6047,                 1.1257,                0.14286,                      1,                0.16499,                0.04246,                 2.9631,                 208.37,                 5.1078,             0.00018806,             0.00018806,             0.00018806
                     13,                0.49877,                 1.2801,                0.92451,                  0.165,                0.72727,                0.14506,                0.04283,                 3.0128,                 25.072,                 5.5754,             0.00020198,             0.00020198,             0.00020198
                     14,                   0.58,                 1.6238,                 1.0609,                0.00212,                0.63636,                0.00306,                0.00045,                 3.3524,                 4.6375,                 3.9964,             0.00021538,             0.00021538,             0.00021538
                     15,                0.64725,                 1.4614,                 1.0114,                0.27273,                0.54545,                0.20763,                0.06712,                 2.9369,                 20.334,                 7.2282,             0.00022826,             0.00022826,             0.00022826
                     16,                0.72681,                 1.0717,                 1.0043,                0.17391,                0.36364,                0.11079,                0.01683,                 3.7358,                 42.426,                 12.022,              0.0002406,              0.0002406,              0.0002406
                     17,                0.75064,                 0.8456,                 1.0645,                0.36842,                0.63636,                0.45016,                0.07314,                 3.5596,                 33.355,                 8.5325,             0.00025242,             0.00025242,             0.00025242
                     18,                0.81996,                0.94066,                 1.1022,                0.36842,                0.63636,                0.45016,                0.07314,                 3.5596,                 33.355,                 8.5325,              0.0002637,              0.0002637,              0.0002637
                     19,                0.74677,                0.96503,                 1.0711,                0.07143,                0.09091,                 0.0534,                 0.0054,                  4.414,                 47.846,                 18.076,             0.00027446,             0.00027446,             0.00027446
                     20,                0.83028,                 1.1936,                 1.1277,                0.07143,                0.09091,                 0.0534,                 0.0054,                  4.414,                 47.846,                 18.076,              0.0002847,              0.0002847,              0.0002847
