                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0608,                 3.4032,                 2.6271,                 0.0003,                0.09091,                0.00023,                  6e-05,                 3.2588,                 5.1566,                 4.0312,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.5506,                 2.9507,                 2.1057,                0.02432,                0.72727,                0.02762,                0.00874,                 1.5867,                 14.387,                 1.7375,             0.00013815,             0.00013815,             0.00013815
                      3,                0.99191,                 3.1185,                 1.3099,                0.12644,                      1,                0.16593,                0.09419,                 1.4209,                 83.394,                 2.1095,             0.00021419,             0.00021419,             0.00021419
                      4,                0.94311,                 1.6698,                 1.0776,                0.05814,                0.90909,                0.06594,                0.02773,                 2.1949,                 352.11,                 7.6883,             0.00028812,             0.00028812,             0.00028812
                      5,                 1.1375,                 1.6409,                 1.3181,                0.01288,                      1,                0.01405,                0.00635,                 1.3733,                 298.19,                 3.4254,             0.00035994,             0.00035994,             0.00035994
                      6,                0.96642,                 1.5192,                 1.2236,                0.01164,                      1,                0.01233,                0.00739,                    1.7,                    inf,                  9.804,             0.00042964,             0.00042964,             0.00042964
                      7,                0.91569,                 1.2359,                 1.1014,                0.01261,                      1,                0.02127,                0.00991,                 2.1712,                    inf,                 15.274,             0.00049723,             0.00049723,             0.00049723
                      8,                0.85525,                0.99386,                 1.1231,                 0.0081,                0.45455,                0.00557,                0.00101,                 3.6723,                 756.49,                  16.72,             0.00056271,             0.00056271,             0.00056271
                      9,                0.93192,                0.91414,                 1.0801,                0.00528,                0.45455,                0.00511,                 0.0009,                  4.093,                 647.92,                 22.094,             0.00062608,             0.00062608,             0.00062608
                     10,                0.87536,                0.80995,                 1.0753,                0.00343,                0.63636,                0.00463,                0.00055,                 3.9237,                    inf,                 371.96,             0.00068734,             0.00068734,             0.00068734
                     11,                0.85363,                0.91192,                  1.028,                0.00771,                      1,                0.01005,                0.00305,                 3.3405,                    inf,                 943.17,             0.00074648,             0.00074648,             0.00074648
                     12,                0.93858,                0.84796,                 1.0964,                0.00289,                0.63636,                0.00343,                0.00037,                 4.3704,                    inf,                 900.31,             0.00080351,             0.00080351,             0.00080351
                     13,                0.93622,                0.91185,                 1.1708,                0.00289,                0.63636,                0.00343,                0.00037,                 5.5174,                    inf,                 1218.6,             0.00085843,             0.00085843,             0.00085843
                     14,                0.85088,                0.73886,                 1.0471,                 0.0079,                      1,                0.03957,                0.00503,                 3.3332,                    inf,                 1330.4,             0.00091124,             0.00091124,             0.00091124
                     15,                0.86283,                0.73947,                 1.0375,                 0.0079,                      1,                0.03957,                0.00503,                    nan,                    nan,                    nan,             0.00096194,             0.00096194,             0.00096194
                     16,                0.93008,                0.78416,                 1.0242,                 0.0079,                      1,                0.03957,                0.00503,                    nan,                    nan,                    nan,              0.0010105,              0.0010105,              0.0010105
                     17,                0.75694,                0.86036,                0.98407,                 0.0079,                      1,                0.03957,                0.00503,                    nan,                    nan,                    nan,               0.001057,               0.001057,               0.001057
                     18,                 1.0823,                0.84139,                 1.1137,                 0.0079,                      1,                0.03957,                0.00503,                    nan,                    nan,                    nan,              0.0011014,              0.0011014,              0.0011014
                     19,                0.94581,                0.73728,                 1.0268,                0.01147,                      1,                0.03708,                0.01284,                   2.02,                    inf,                 96.102,              0.0011436,              0.0011436,              0.0011436
                     20,                0.99532,                0.86515,                 1.1324,                0.01741,                0.81818,                0.02413,                0.00776,                 3.2039,                    inf,                 220.23,              0.0011837,              0.0011837,              0.0011837
                     21,                0.82786,                0.69048,                 1.0246,                0.01058,                0.54545,                0.01019,                0.00309,                 3.7084,                    inf,                 791.02,              0.0012218,              0.0012218,              0.0012218
                     22,                0.87535,                0.63236,                 1.0754,                0.01509,                      1,                 0.0343,                0.00863,                 3.3639,                    inf,                 715.93,              0.0012577,              0.0012577,              0.0012577
                     23,                0.83445,                0.64005,                 1.0353,                0.00948,                0.18182,                0.00699,                 0.0007,                    nan,                    nan,                    nan,              0.0012915,              0.0012915,              0.0012915
                     24,                0.82709,                0.58144,                0.95169,                0.00948,                0.18182,                0.00699,                 0.0007,                    nan,                    nan,                    nan,              0.0013232,              0.0013232,              0.0013232
                     25,                0.77666,                0.67553,                 1.0011,                0.00948,                0.18182,                0.00699,                 0.0007,                    nan,                    nan,                    nan,              0.0013527,              0.0013527,              0.0013527
                     26,                0.92003,                0.70933,                 1.1092,                0.00948,                0.18182,                0.00699,                 0.0007,                    nan,                    nan,                    nan,                0.00134,                0.00134,                0.00134
                     27,                  1.026,                0.61614,                 1.0519,                0.00948,                0.18182,                0.00699,                 0.0007,                    nan,                    nan,                    nan,                0.00134,                0.00134,                0.00134
                     28,                0.91892,                0.59434,                 1.0324,                0.00979,                0.72727,                0.00892,                0.00295,                    nan,                    nan,                    nan,              0.0013136,              0.0013136,              0.0013136
