                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7343,                 3.5912,                 2.1897,                0.00187,                 0.5625,                0.00764,                0.00108,                 3.2473,                 5.2931,                 3.7106,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.7413,                 3.1564,                 2.2138,                      1,                   0.75,                0.92347,                0.59204,                 1.0225,                 13.736,                 1.9514,              9.868e-05,              9.868e-05,              9.868e-05
                      3,                 1.2135,                  5.032,                 1.7755,                0.00624,                  0.125,                0.00987,                0.00229,                 1.5384,                 34.692,                   1.87,             0.00015578,             0.00015578,             0.00015578
                      4,                 1.0691,                  3.552,                 1.3872,                0.17204,                      1,                0.24149,                0.10541,                 1.7094,                 86.822,                 2.9148,             0.00021129,             0.00021129,             0.00021129
                      5,                 1.0929,                 2.5869,                 1.2747,                0.03285,                      1,                0.03468,                0.01686,                 1.2454,                 163.75,                 2.0826,             0.00026522,             0.00026522,             0.00026522
                      6,                0.95622,                 1.5433,                 1.3353,                0.04505,                 0.9375,                0.05608,                0.03348,                 1.0362,                  67.49,                 2.1411,             0.00031756,             0.00031756,             0.00031756
                      7,                 1.0242,                 1.4058,                 1.4333,                0.03837,                      1,                0.07108,                0.04012,                 1.6291,                 107.78,                 3.6607,             0.00036832,             0.00036832,             0.00036832
                      8,                 1.1853,                 1.5208,                 1.3726,                0.05455,                 0.9375,                0.06131,                0.03817,                 1.4299,                 84.626,                 3.9893,              0.0004175,              0.0004175,              0.0004175
                      9,                 1.2284,                 1.5098,                  1.395,                0.01444,                 0.6875,                0.01915,                0.00613,                 2.4452,                 603.34,                 4.9822,             0.00046509,             0.00046509,             0.00046509
                     10,                 1.0956,                 1.2121,                  1.253,                0.00559,                 0.9375,                0.00798,                0.00438,                  2.056,                    inf,                 115.58,              0.0005111,              0.0005111,              0.0005111
                     11,                 1.2246,                 1.3603,                 1.3601,                0.00472,                 0.5625,                 0.0058,                 0.0009,                 3.5872,                    nan,                 327.43,             0.00055552,             0.00055552,             0.00055552
                     12,                 1.1625,                 1.2932,                  1.291,                0.00466,                  0.875,                0.00697,                0.00194,                 3.5222,                    inf,                 212.63,             0.00059836,             0.00059836,             0.00059836
                     13,                 0.9217,                 1.1395,                 1.1881,                0.00687,                   0.75,                0.01732,                0.00904,                 3.9089,                    inf,                 259.03,             0.00063962,             0.00063962,             0.00063962
                     14,                 1.2484,                 1.4088,                  1.433,                0.00286,                 0.5625,                0.00297,                0.00063,                 4.0279,                    inf,                  115.3,             0.00067929,             0.00067929,             0.00067929
                     15,                 1.2152,                   1.18,                 1.3459,                0.00286,                 0.5625,                0.00297,                0.00063,                    nan,                    nan,                    nan,             0.00071738,             0.00071738,             0.00071738
                     16,                 1.1488,                 1.0471,                 1.2325,                0.00286,                 0.5625,                0.00297,                0.00063,                    nan,                    nan,                    nan,             0.00075388,             0.00075388,             0.00075388
                     17,                 1.2419,                  1.178,                 1.1836,                0.00286,                 0.5625,                0.00297,                0.00063,                    nan,                    nan,                    nan,              0.0007888,              0.0007888,              0.0007888
